1, 2.4647028446, 2.4759809971, 2.4623570442, 2.4661779404, 2.4661419392, 
2, 1.3304140568, 1.3392050266, 1.3349871635, 1.3294730186, 1.3281459808, 
3, 0.8754119873, 0.8754251003, 0.8909499645, 0.8713710308, 0.8796510696, 
4, 0.6546609402, 0.6613028049, 0.6677401066, 0.6396200657, 0.6690649986, 
5, 0.5141851902, 0.6125640869, 0.5304050446, 0.5332658291, 0.5306987762, 
6, 0.4575719833, 0.4453938007, 0.4476981163, 0.4455649853, 0.4572019577, 
7, 0.3908228874, 0.3904109001, 0.3797338009, 0.3805170059, 0.3889582157, 
8, 0.3386871815, 0.3353869915, 0.3382439613, 0.3372621536, 0.3374040127, 
9, 0.2985260487, 0.3087649345, 0.2986290455, 0.2976779938, 0.2959170341, 
10, 0.2667021751, 0.2656810284, 0.2639920712, 0.2687621117, 0.2649340630, 
11, 0.2441940308, 0.2431600094, 0.3086631298, 0.2438118458, 0.2392120361, 
12, 0.2277839184, 0.2219297886, 0.2248420715, 0.2627220154, 0.2216389179, 
13, 0.2059679031, 0.2077569962, 0.2064490318, 0.2058019638, 0.2045590878, 
14, 0.1967089176, 0.1916608810, 0.1908569336, 0.2274601460, 0.1909379959, 
15, 0.1777439117, 0.1779060364, 0.1787590981, 0.1783919334, 0.1745569706, 
16, 0.1663661003, 0.1645801067, 0.1656451225, 0.1908500195, 0.1688830853, 
17, 0.1629650593, 0.1581208706, 0.1630179882, 0.1573560238, 0.1588940620, 
18, 0.1487197876, 0.1488289833, 0.1472420692, 0.1469180584, 0.1705460548, 
19, 0.1401729584, 0.1418468952, 0.1402180195, 0.1763048172, 0.1632359028, 
20, 0.1339440346, 0.1345419884, 0.1336090565, 0.1336431503, 0.1492199898, 
21, 0.1475150585, 0.1316778660, 0.1389861107, 0.1283710003, 0.1326031685, 
22, 0.1524119377, 0.1220610142, 0.1265809536, 0.1218008995, 0.2007389069, 
23, 0.1285729408, 0.1309499741, 0.1418719292, 0.1177930832, 0.1211841106, 
24, 0.1504061222, 0.1430711746, 0.1164801121, 0.1121668816, 0.1152379513, 
25, 0.1192500591, 0.1353728771, 0.1088809967, 0.1260080338, 0.1077718735, 
26, 0.1270859241, 0.1228690147, 0.1080410480, 0.1063859463, 0.1067049503, 
27, 0.1046011448, 0.1011631489, 0.1263010502, 0.1010720730, 0.1019659042, 
28, 0.1324081421, 0.0996589661, 0.0985569954, 0.1158959866, 0.0995230675, 
29, 0.1003730297, 0.1238770485, 0.0967171192, 0.1082968712, 0.0973429680, 
30, 0.1115288734, 0.0937020779, 0.0934600830, 0.1052930355, 0.0941669941, 
